," [Z1Light , false]"," [Z1Light , true]"," [Z2Light , false]"," [Z2Light , true]"," [Z1Blinds , false] ","[Z1Blinds , true]","[Z2Blinds , false]","[Z2Blinds , true]"
2000011,0,0,0,0,0,0,0,0
2000012,0,0,0,0,0,0,0,0
2000013,0,0,0,0,0,0,0,0
2000100,0,0,0,0,0,0,0,0
2000101,0,0,0,0,0,0,0,0
2000102,0,0,0,0,0,0,0,0
2000103,0,0,0,0,0,0,0,0
2000110,0,0,0,0,0,0,0,0
2000111,0,0,0,0,0,0,0,0
2000112,0,0,0,0,0,0,0,0
2000113,0,0,0,0,0,0,0,0
2001000,0,0,0,0,0,0,0,0
2001001,0,0,0,0,0,0,0,0
2001002,0,0,0,0,0,0,0,0
2001003,0,0,0,0,0,0,0,0
2001010,0,0,0,0,0,0,0,0
2001011,0,0,0,0,0,0,0,0
2001012,0,0,0,0,0,0,0,0
2001013,0,0,0,0,0,0,0,0
2001100,0,0,0,0,0,0,0,0
2001101,0,0,0,0,0,0,0,0
2001102,0,0,0,0,0,0,0,0
2001103,0,0,0,0,0,0,0,0
2001110,0,0,0,0,0,0,0,0
2001111,0,0,0,0,0,0,0,0
2001112,0,0,0,0,0,0,0,0
2001113,0,0,0,0,0,0,0,0
2010000,0,0,0,0,0,0,0,0
2010001,0,0,0,0,0,0,0,0
2010002,0,0,0,0,0,0,0,0
2010003,0,0,0,0,0,0,0,0
2010010,0,0,0,0,0,0,0,0
2010011,0,0,0,0,0,0,0,0
2010012,0,0,0,0,0,0,0,0
2010013,0,0,0,0,0,0,0,0
2010100,0,0,0,0,0,0,0,0
2010101,0,0,0,0,0,0,0,0
2010102,0,0,0,0,0,0,0,0
2010103,0,0,0,0,0,0,0,0
2010110,0,0,0,0,0,0,0,0
2010111,0,0,0,0,0,0,0,0
2010112,0,0,0,0,0,0,0,0
2010113,0,0,0,0,0,0,0,0
2011000,0,0,0,0,0,0,0,0
2011001,0,0,0,0,0,0,0,0
2011002,0,0,0,0,0,0,0,0
2011003,0,0,0,0,0,0,0,0
2011010,0,0,0,0,0,0,0,0
2011011,0,0,0,0,0,0,0,0
2011012,0,0,0,0,0,0,0,0
2011013,0,0,0,0,0,0,0,0
2011100,0,0,0,0,0,0,0,0
2011101,0,0,0,0,0,0,0,0
2011102,0,0,0,0,0,0,0,0
2011103,0,0,0,0,0,0,0,0
2011110,0,0,0,0,0,0,0,0
2011111,0,0,0,0,0,0,0,0
2011112,0,0,0,0,0,0,0,0
2011113,0,0,0,0,0,0,0,0
2100000,0,0,0,0,0,0,0,0
2100001,0,0,0,0,0,0,0,0
2100002,0,0,0,0,0,0,0,0
2100003,0,0,0,0,0,0,0,0
2100010,0,0,0,0,0,0,0,0
2100011,0,0,0,0,0,0,0,0
2100012,0,0,0,0,0,0,0,0
2100013,0,0,0,0,0,0,0,0
2100100,0,0,0,0,0,0,0,0
2100101,0,0,0,0,0,0,0,0
2100102,0,0,0,0,0,0,0,0
2100103,0,0,0,0,0,0,0,0
2100110,0,0,0,0,0,0,0,0
2100111,0,0,0,0,0,0,0,0
2100112,0,0,0,0,0,0,0,0
2100113,0,0,0,0,0,0,0,0
2101000,0,0,0,0,0,0,0,0
2101001,0,0,0,0,0,0,0,0
2101002,0,0,0,0,0,0,0,0
2101003,0,0,0,0,0,0,0,0
2101010,0,0,0,0,0,0,0,0
2101011,0,0,0,0,0,0,0,0
2101012,0,0,0,0,0,0,0,0
2101013,0,0,0,0,0,0,0,0
2101100,0,0,0,0,0,0,0,0
2101101,0,0,0,0,0,0,0,0
2101102,0,0,0,0,0,0,0,0
2101103,0,0,0,0,0,0,0,0
2101110,0,0,0,0,0,0,0,0
2101111,0,0,0,0,0,0,0,0
2101112,0,0,0,0,0,0,0,0
2101113,0,0,0,0,0,0,0,0
2110000,0,0,0,0,0,0,0,0
2110001,0,0,0,0,0,0,0,0
2110002,0,0,0,0,0,0,0,0
